RUN	Servicios.ObtenerCiudades	obtenerciudades	1569512381723	NA	3.0.2
USER	SmokeTest	1	START	1569512383488	1569512383488
USER	SmokeTest	2	START	1569512383738	1569512383738
USER	SmokeTest	3	START	1569512383932	1569512383932
USER	SmokeTest	4	START	1569512384132	1569512384132
USER	SmokeTest	5	START	1569512384343	1569512384343
REQUEST	1		SmokeTest	1569512383518	1569512384466	OK	 
REQUEST	2		SmokeTest	1569512383739	1569512384450	OK	 
USER	SmokeTest	2	END	1569512383738	1569512384530
USER	SmokeTest	6	START	1569512384531	1569512384531
USER	SmokeTest	1	END	1569512383488	1569512384530
USER	SmokeTest	7	START	1569512384532	1569512384532
REQUEST	3		SmokeTest	1569512383932	1569512384653	OK	 
USER	SmokeTest	3	END	1569512383932	1569512384657
USER	SmokeTest	8	START	1569512384658	1569512384658
REQUEST	4		SmokeTest	1569512384132	1569512384967	OK	 
USER	SmokeTest	4	END	1569512384132	1569512384978
USER	SmokeTest	9	START	1569512384978	1569512384978
REQUEST	6		SmokeTest	1569512384532	1569512385305	OK	 
USER	SmokeTest	6	END	1569512384531	1569512385307
USER	SmokeTest	10	START	1569512385307	1569512385307
REQUEST	5		SmokeTest	1569512384345	1569512385341	OK	 
USER	SmokeTest	5	END	1569512384343	1569512385343
USER	SmokeTest	11	START	1569512385343	1569512385343
REQUEST	7		SmokeTest	1569512384533	1569512385374	OK	 
USER	SmokeTest	7	END	1569512384532	1569512385376
USER	SmokeTest	12	START	1569512385376	1569512385376
REQUEST	8		SmokeTest	1569512384659	1569512385431	OK	 
USER	SmokeTest	8	END	1569512384658	1569512385433
USER	SmokeTest	13	START	1569512385433	1569512385433
REQUEST	9		SmokeTest	1569512384980	1569512385752	OK	 
USER	SmokeTest	9	END	1569512384978	1569512385783
USER	SmokeTest	14	START	1569512385784	1569512385784
REQUEST	10		SmokeTest	1569512385308	1569512386080	OK	 
USER	SmokeTest	10	END	1569512385307	1569512386082
USER	SmokeTest	15	START	1569512386082	1569512386082
REQUEST	11		SmokeTest	1569512385344	1569512386111	OK	 
USER	SmokeTest	11	END	1569512385343	1569512386113
USER	SmokeTest	16	START	1569512386113	1569512386113
REQUEST	12		SmokeTest	1569512385376	1569512386147	OK	 
USER	SmokeTest	12	END	1569512385376	1569512386149
USER	SmokeTest	17	START	1569512386149	1569512386149
REQUEST	13		SmokeTest	1569512385434	1569512386224	OK	 
USER	SmokeTest	13	END	1569512385433	1569512386225
USER	SmokeTest	18	START	1569512386226	1569512386226
REQUEST	14		SmokeTest	1569512385784	1569512386552	OK	 
USER	SmokeTest	14	END	1569512385784	1569512386554
USER	SmokeTest	19	START	1569512386555	1569512386555
REQUEST	15		SmokeTest	1569512386083	1569512386749	OK	 
USER	SmokeTest	15	END	1569512386082	1569512386751
USER	SmokeTest	20	START	1569512386751	1569512386751
REQUEST	16		SmokeTest	1569512386114	1569512386796	OK	 
USER	SmokeTest	16	END	1569512386113	1569512386797
USER	SmokeTest	21	START	1569512386797	1569512386797
REQUEST	18		SmokeTest	1569512386226	1569512386901	OK	 
USER	SmokeTest	18	END	1569512386226	1569512386902
USER	SmokeTest	22	START	1569512386902	1569512386902
REQUEST	17		SmokeTest	1569512386149	1569512386918	OK	 
USER	SmokeTest	17	END	1569512386149	1569512386919
USER	SmokeTest	23	START	1569512386919	1569512386919
REQUEST	19		SmokeTest	1569512386556	1569512387263	OK	 
