RUN	Servicios.ObtenerCiudades	obtenerciudades	1569514514643	1	3.0.2
USER	SmokeTest	1	START	1569514516507	1569514516507
USER	SmokeTest	2	START	1569514516783	1569514516783
USER	SmokeTest	3	START	1569514516966	1569514516966
USER	SmokeTest	4	START	1569514517164	1569514517164
USER	SmokeTest	5	START	1569514517367	1569514517367
REQUEST	1		SmokeTest	1569514516542	1569514517460	OK	 
USER	SmokeTest	1	END	1569514516507	1569514517542
USER	SmokeTest	6	START	1569514517543	1569514517543
REQUEST	2		SmokeTest	1569514516784	1569514517568	OK	 
USER	SmokeTest	2	END	1569514516783	1569514517579
USER	SmokeTest	7	START	1569514517580	1569514517580
REQUEST	3		SmokeTest	1569514516968	1569514517689	OK	 
USER	SmokeTest	3	END	1569514516966	1569514517700
USER	SmokeTest	8	START	1569514517701	1569514517701
REQUEST	4		SmokeTest	1569514517167	1569514517973	OK	 
USER	SmokeTest	4	END	1569514517164	1569514518014
USER	SmokeTest	9	START	1569514518014	1569514518014
REQUEST	5		SmokeTest	1569514517370	1569514518173	OK	 
USER	SmokeTest	5	END	1569514517367	1569514518179
USER	SmokeTest	10	START	1569514518180	1569514518180
REQUEST	6		SmokeTest	1569514517544	1569514518252	OK	 
USER	SmokeTest	6	END	1569514517543	1569514518285
USER	SmokeTest	11	START	1569514518289	1569514518289
REQUEST	7		SmokeTest	1569514517580	1569514518480	OK	 
USER	SmokeTest	7	END	1569514517580	1569514518511
USER	SmokeTest	12	START	1569514518513	1569514518513
REQUEST	8		SmokeTest	1569514517702	1569514518671	OK	 
USER	SmokeTest	8	END	1569514517701	1569514518681
USER	SmokeTest	13	START	1569514518682	1569514518682
REQUEST	9		SmokeTest	1569514518015	1569514518710	OK	 
USER	SmokeTest	9	END	1569514518014	1569514518720
USER	SmokeTest	14	START	1569514518721	1569514518721
REQUEST	10		SmokeTest	1569514518181	1569514518982	OK	 
USER	SmokeTest	10	END	1569514518180	1569514518992
USER	SmokeTest	15	START	1569514518993	1569514518993
REQUEST	11		SmokeTest	1569514518290	1569514519006	OK	 
USER	SmokeTest	11	END	1569514518289	1569514519015
USER	SmokeTest	16	START	1569514519018	1569514519018
REQUEST	12		SmokeTest	1569514518515	1569514519318	OK	 
USER	SmokeTest	12	END	1569514518513	1569514519325
USER	SmokeTest	17	START	1569514519325	1569514519325
REQUEST	14		SmokeTest	1569514518721	1569514519438	OK	 
