RUN	Servicios.ObtenerCiudades	obtenerciudades	1569618175525	 	3.0.2
USER	SmokeTest	1	START	1569618177849	1569618177849
USER	SmokeTest	2	START	1569618178100	1569618178100
USER	SmokeTest	3	START	1569618178304	1569618178304
USER	SmokeTest	4	START	1569618178501	1569618178501
USER	SmokeTest	5	START	1569618178702	1569618178702
REQUEST	1		SmokeTest	1569618177885	1569618178912	OK	 
USER	SmokeTest	1	END	1569618177849	1569618178987
USER	SmokeTest	6	START	1569618178987	1569618178987
REQUEST	2		SmokeTest	1569618178101	1569618179009	OK	 
USER	SmokeTest	2	END	1569618178100	1569618179018
USER	SmokeTest	7	START	1569618179019	1569618179019
REQUEST	3		SmokeTest	1569618178305	1569618179126	OK	 
USER	SmokeTest	3	END	1569618178304	1569618179135
USER	SmokeTest	8	START	1569618179135	1569618179135
REQUEST	4		SmokeTest	1569618178502	1569618179360	OK	 
USER	SmokeTest	4	END	1569618178501	1569618179405
USER	SmokeTest	9	START	1569618179406	1569618179406
REQUEST	5		SmokeTest	1569618178703	1569618179484	OK	 
USER	SmokeTest	5	END	1569618178702	1569618179499
USER	SmokeTest	10	START	1569618179508	1569618179508
REQUEST	8		SmokeTest	1569618179136	1569618179942	OK	 
USER	SmokeTest	8	END	1569618179135	1569618179955
USER	SmokeTest	11	START	1569618179958	1569618179958
REQUEST	6		SmokeTest	1569618178988	1569618179935	OK	 
USER	SmokeTest	6	END	1569618178987	1569618179967
USER	SmokeTest	12	START	1569618179968	1569618179968
REQUEST	7		SmokeTest	1569618179020	1569618180142	OK	 
REQUEST	9		SmokeTest	1569618179407	1569618180194	OK	 
USER	SmokeTest	7	END	1569618179019	1569618180183
USER	SmokeTest	13	START	1569618180228	1569618180228
USER	SmokeTest	9	END	1569618179406	1569618180204
USER	SmokeTest	14	START	1569618180231	1569618180231
REQUEST	10		SmokeTest	1569618179510	1569618180263	OK	 
USER	SmokeTest	10	END	1569618179508	1569618180269
USER	SmokeTest	15	START	1569618180269	1569618180269
REQUEST	12		SmokeTest	1569618179969	1569618181041	OK	 
USER	SmokeTest	12	END	1569618179968	1569618181061
USER	SmokeTest	16	START	1569618181061	1569618181061
REQUEST	11		SmokeTest	1569618179960	1569618181106	OK	 
USER	SmokeTest	11	END	1569618179958	1569618181114
USER	SmokeTest	17	START	1569618181114	1569618181114
REQUEST	13		SmokeTest	1569618180229	1569618181179	OK	 
